epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,143.644,0.74819,0.46875,1,0.76139,3.26531e-05,3.26531e-05,0.0673796
2,280.187,0.70399,0.625,1,0.65999,6.46799e-05,6.46799e-05,0.0340783
3,418.341,0.68306,0.64583,1,0.65527,9.53867e-05,9.53867e-05,0.000775659
4,553.293,0.67938,0.58333,1,0.70898,9.406e-05,9.406e-05,9.406e-05
5,683.883,0.67301,0.67708,1,0.63656,9.208e-05,9.208e-05,9.208e-05
6,811.857,0.67225,0.65625,1,0.70964,9.01e-05,9.01e-05,9.01e-05
7,939.61,0.65492,0.70833,1,0.64014,8.812e-05,8.812e-05,8.812e-05
8,1067.14,0.64934,0.67708,1,0.67253,8.614e-05,8.614e-05,8.614e-05
9,1194.14,0.66578,0.64583,1,0.6429,8.416e-05,8.416e-05,8.416e-05
10,1321.69,0.65864,0.70833,1,0.65413,8.218e-05,8.218e-05,8.218e-05
11,1449.42,0.65315,0.76042,1,0.68001,8.02e-05,8.02e-05,8.02e-05
12,1583.05,0.66454,0.70833,1,0.69124,7.822e-05,7.822e-05,7.822e-05
13,1722.94,0.6531,0.72917,1,0.59652,7.624e-05,7.624e-05,7.624e-05
14,1855.93,0.65576,0.625,1,0.6945,7.426e-05,7.426e-05,7.426e-05
15,1992.67,0.66965,0.6875,1,0.64925,7.228e-05,7.228e-05,7.228e-05
16,2121.65,0.6585,0.70833,1,0.62598,7.03e-05,7.03e-05,7.03e-05
17,2252.57,0.64738,0.6875,1,0.68717,6.832e-05,6.832e-05,6.832e-05
18,2385.3,0.65323,0.70833,1,0.618,6.634e-05,6.634e-05,6.634e-05
19,2517.92,0.65661,0.75,1,0.59635,6.436e-05,6.436e-05,6.436e-05
20,2649.72,0.65061,0.70833,1,0.61458,6.238e-05,6.238e-05,6.238e-05
21,2788.06,0.65255,0.70833,1,0.59993,6.04e-05,6.04e-05,6.04e-05
